SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:36:09,123456,OPERATOR,,,,INITIALIZE START,,,,,INITIALIZE START,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:36:10,123456,OPERATOR,,,,INITIALIZE END,,,,,INITIALIZE END,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:36:13,123456,OPERATOR,,,,START,,,,,START,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:36:36,123456,OPERATOR,,,,END,,,,,LOT END WORKDONE,
SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:01,123456,OPERATOR,,,,INPUT,00,,,,:00-FAIL:03-RATE:00%,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:01,123456,OPERATOR,,,,PASS,00,,,,:00-FAIL:03-RATE:00%,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:02,123456,OPERATOR,,,,FAIL,03,,,,:00-FAIL:03-RATE:00%,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:02,123456,OPERATOR,,,,RATE,00%,,,,:00-FAIL:03-RATE:00%,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:03,123456,OPERATOR,,,,PRODUCTION TIME LOT,89:22:52,,,,PRODUCTION TIME LOT:89:22:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:04,123456,OPERATOR,,,,DOWN TIME LOT,69:13:53,,,,DOWN TIME LOT:69:13:53,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:04,123456,OPERATOR,,,,IDLE TIME LOT,77:09:19,,,,IDLE TIME LOT:77:09:19,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:05,123456,OPERATOR,,,,PRODUCTION TIME,25:17:01,,,,PRODUCTION TIME:25:17:01,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:05,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,16:00:06,123456,OPERATOR,,,,IDLE TIME,00:00:16,,,,IDLE TIME:00:00:16,
NSTD,KK13,L02ER-16_07LE,25/02/20,17:00:00,123456,OPERATOR,,,,INPUT,00,,,,:00-FAIL:03-RATE:00%,
NSTD,KK13,L02ER-16_07LE,25/02/20,17:00:01,123456,OPERATOR,,,,PASS,00,,,,:00-FAIL:03-RATE:00%,
